participant_id,excerpt_summary,code_1,code_2,code_3,valence,condition_mentioned,researcher_notes
P01,"Participant said the semantic version made it easier to tell what the symbols were doing, especially for vectors and limits.",semantic_clarity,symbol_role_helpful,audio_preference_semantic,positive,mathontospeak_semantic,Synthetic demo response; replace with real transcript after participant session.
P02,"Participant found notation-only audio shorter, but said it was harder to remember the purpose of each expression.",notation_concise,notation_confusion,cognitive_load_high,mixed,notation_only,Synthetic demo response; replace with real transcript after participant session.
P03,Participant preferred semantic audio for new material but wanted slightly faster pacing for familiar algebra examples.,audio_preference_semantic,pacing_issue,domain_familiarity,mixed,mathontospeak_semantic,Synthetic demo response; replace with real transcript after participant session.
P04,"Participant said both conditions were understandable, but the semantic version reduced guessing on calculus and matrix items.",semantic_clarity,calculus_helpful,matrix_helpful,positive,both,Synthetic demo response; replace with real transcript after participant session.
P05,"Participant said the semantic version made it easier to tell what the symbols were doing, especially for vectors and limits.",semantic_clarity,symbol_role_helpful,audio_preference_semantic,positive,mathontospeak_semantic,Synthetic demo response; replace with real transcript after participant session.
P06,"Participant found notation-only audio shorter, but said it was harder to remember the purpose of each expression.",notation_concise,notation_confusion,cognitive_load_high,mixed,notation_only,Synthetic demo response; replace with real transcript after participant session.
P07,Participant preferred semantic audio for new material but wanted slightly faster pacing for familiar algebra examples.,audio_preference_semantic,pacing_issue,domain_familiarity,mixed,mathontospeak_semantic,Synthetic demo response; replace with real transcript after participant session.
P08,"Participant said both conditions were understandable, but the semantic version reduced guessing on calculus and matrix items.",semantic_clarity,calculus_helpful,matrix_helpful,positive,both,Synthetic demo response; replace with real transcript after participant session.
P09,"Participant said the semantic version made it easier to tell what the symbols were doing, especially for vectors and limits.",semantic_clarity,symbol_role_helpful,audio_preference_semantic,positive,mathontospeak_semantic,Synthetic demo response; replace with real transcript after participant session.
P10,"Participant found notation-only audio shorter, but said it was harder to remember the purpose of each expression.",notation_concise,notation_confusion,cognitive_load_high,mixed,notation_only,Synthetic demo response; replace with real transcript after participant session.
