symbol_rank,symbol,symbol_frequency,arxiv_id,categories,text_source,matched_text,usage_context,extraction_rule,concept_IRI,canonical_label,domain_tags,source_provenance,source_status,start_char,end_char
2,n,108,2606.19323v1,math.DG,title_abstract,n,", those whose universal cover splits as a nontrivial product of symmetric spaces of compact, noncompact, and Euclidean types. We provide a new family of ""diagonal"" cohomogeneity-one actions on symmetric spaces of the form $\mathbb{R}^n \times M_-$, where $M_-$ is of noncompact type. We show that, with the exception of this family, any cohomogeneity-one action on a symmetric space decomposes as a product of isometric actions on its compact, Euclidean, and noncompact factors.",spaCy MathEntRuler entity,http://example.org/mathkg/Variable,Variable,general-mathematics,https://arxiv.org/pdf/2606.19323v1,metadata_abstract,395,396
47,\times,15,2606.19323v1,math.DG,title_abstract,\times,", those whose universal cover splits as a nontrivial product of symmetric spaces of compact, noncompact, and Euclidean types. We provide a new family of ""diagonal"" cohomogeneity-one actions on symmetric spaces of the form $\mathbb{R}^n \times M_-$, where $M_-$ is of noncompact type. We show that, with the exception of this family, any cohomogeneity-one action on a symmetric space decomposes as a product of isometric actions on its compact, Euclidean, and noncompact factors.",spaCy MathEntRuler entity,http://cll.niimm.ksu.ru/ontologies/mathematics#E1318,Multiplication,general-mathematics,https://arxiv.org/pdf/2606.19323v1,metadata_abstract,397,403
11,M,39,2606.19323v1,math.DG,title_abstract,M,", those whose universal cover splits as a nontrivial product of symmetric spaces of compact, noncompact, and Euclidean types. We provide a new family of ""diagonal"" cohomogeneity-one actions on symmetric spaces of the form $\mathbb{R}^n \times M_-$, where $M_-$ is of noncompact type. We show that, with the exception of this family, any cohomogeneity-one action on a symmetric space decomposes as a product of isometric actions on its compact, Euclidean, and noncompact factors.",spaCy MathEntRuler entity,http://cll.niimm.ksu.ru/ontologies/mathematics#E1703,Matrix,linear-algebra,https://arxiv.org/pdf/2606.19323v1,metadata_abstract,404,405
11,M,39,2606.19323v1,math.DG,title_abstract,M,", those whose universal cover splits as a nontrivial product of symmetric spaces of compact, noncompact, and Euclidean types. We provide a new family of ""diagonal"" cohomogeneity-one actions on symmetric spaces of the form $\mathbb{R}^n \times M_-$, where $M_-$ is of noncompact type. We show that, with the exception of this family, any cohomogeneity-one action on a symmetric space decomposes as a product of isometric actions on its compact, Euclidean, and noncompact factors.",spaCy MathEntRuler entity,http://cll.niimm.ksu.ru/ontologies/mathematics#E1703,Matrix,linear-algebra,https://arxiv.org/pdf/2606.19323v1,metadata_abstract,417,418
29,g,22,2606.19322v1,math.GR; math.LO; math.OA,title_abstract,g,"xistential Inclusions of Bi-exact Groups are Conjugacy Representation Rigid If $Λ$ is a non-amenable bi-exact group and $Λ\hookrightarrow Γ$ is an existential embedding, then each of the intersections $Λ\cap g Λg^{-1}$ for $g$ a member of $Γ\backslash Λ$ is amenable. This in conjunction with work of Bekka and Kalantar demonstrates that in this situation, the weak equivalence class of the quasi-regular representation $λ_{Γ/Λ}$ determines $Λ$ up to conjugacy among the self-commensurating subgroups of $Γ$.",spaCy MathEntRuler entity,http://example.org/mathkg/Variable,Variable,general-mathematics,https://arxiv.org/pdf/2606.19322v1,metadata_abstract,209,210
29,g,22,2606.19322v1,math.GR; math.LO; math.OA,title_abstract,g,"xistential Inclusions of Bi-exact Groups are Conjugacy Representation Rigid If $Λ$ is a non-amenable bi-exact group and $Λ\hookrightarrow Γ$ is an existential embedding, then each of the intersections $Λ\cap g Λg^{-1}$ for $g$ a member of $Γ\backslash Λ$ is amenable. This in conjunction with work of Bekka and Kalantar demonstrates that in this situation, the weak equivalence class of the quasi-regular representation $λ_{Γ/Λ}$ determines $Λ$ up to conjugacy among the self-commensurating subgroups of $Γ$.",spaCy MathEntRuler entity,http://example.org/mathkg/Variable,Variable,general-mathematics,https://arxiv.org/pdf/2606.19322v1,metadata_abstract,212,213
29,g,22,2606.19322v1,math.GR; math.LO; math.OA,title_abstract,g,"xistential Inclusions of Bi-exact Groups are Conjugacy Representation Rigid If $Λ$ is a non-amenable bi-exact group and $Λ\hookrightarrow Γ$ is an existential embedding, then each of the intersections $Λ\cap g Λg^{-1}$ for $g$ a member of $Γ\backslash Λ$ is amenable. This in conjunction with work of Bekka and Kalantar demonstrates that in this situation, the weak equivalence class of the quasi-regular representation $λ_{Γ/Λ}$ determines $Λ$ up to conjugacy among the self-commensurating subgroups of $Γ$.",spaCy MathEntRuler entity,http://example.org/mathkg/Variable,Variable,general-mathematics,https://arxiv.org/pdf/2606.19322v1,metadata_abstract,225,226
92,\backslash,3,2606.19322v1,math.GR; math.LO; math.OA,title_abstract,\backslash,"xistential Inclusions of Bi-exact Groups are Conjugacy Representation Rigid If $Λ$ is a non-amenable bi-exact group and $Λ\hookrightarrow Γ$ is an existential embedding, then each of the intersections $Λ\cap g Λg^{-1}$ for $g$ a member of $Γ\backslash Λ$ is amenable. This in conjunction with work of Bekka and Kalantar demonstrates that in this situation, the weak equivalence class of the quasi-regular representation $λ_{Γ/Λ}$ determines $Λ$ up to conjugacy among the self-commensurating subgroups of $Γ$.",spaCy MathEntRuler entity,,,,https://arxiv.org/pdf/2606.19322v1,metadata_abstract,242,252
27,k,27,2606.19313v1,math.PR,title_abstract,k,"tability of Khintchine-type inequalities via log-monotonicity We investigate Khintchine-type inequalities for the weighted sums $S=\sum_ka_kX_k$ of independent copies of a symmetric random variable $X$. We show how log-monotonicity of the sequence $r_k(X)=k! \mathbb{E}[X^{2k}]/(2k)!$ implies sharp comparisons between the $L_p$ and $L_2$ norms of $S$ for every even integer $p\geq 2$, extending classic Khintchine-type inequalities and yielding new results in the log-convex setting.",spaCy MathEntRuler entity,http://example.org/mathkg/Variable,Variable,general-mathematics,https://arxiv.org/pdf/2606.19313v1,metadata_abstract,143,144
16,X,32,2606.19313v1,math.PR,title_abstract,X,"tability of Khintchine-type inequalities via log-monotonicity We investigate Khintchine-type inequalities for the weighted sums $S=\sum_ka_kX_k$ of independent copies of a symmetric random variable $X$. We show how log-monotonicity of the sequence $r_k(X)=k! \mathbb{E}[X^{2k}]/(2k)!$ implies sharp comparisons between the $L_p$ and $L_2$ norms of $S$ for every even integer $p\geq 2$, extending classic Khintchine-type inequalities and yielding new results in the log-convex setting.",spaCy MathEntRuler entity,http://example.org/mathkg/Variable,Variable,general-mathematics,https://arxiv.org/pdf/2606.19313v1,metadata_abstract,200,201
27,k,27,2606.19313v1,math.PR,title_abstract,k,"tability of Khintchine-type inequalities via log-monotonicity We investigate Khintchine-type inequalities for the weighted sums $S=\sum_ka_kX_k$ of independent copies of a symmetric random variable $X$. We show how log-monotonicity of the sequence $r_k(X)=k! \mathbb{E}[X^{2k}]/(2k)!$ implies sharp comparisons between the $L_p$ and $L_2$ norms of $S$ for every even integer $p\geq 2$, extending classic Khintchine-type inequalities and yielding new results in the log-convex setting.",spaCy MathEntRuler entity,http://example.org/mathkg/Variable,Variable,general-mathematics,https://arxiv.org/pdf/2606.19313v1,metadata_abstract,257,258
16,X,32,2606.19313v1,math.PR,title_abstract,X,"tability of Khintchine-type inequalities via log-monotonicity We investigate Khintchine-type inequalities for the weighted sums $S=\sum_ka_kX_k$ of independent copies of a symmetric random variable $X$. We show how log-monotonicity of the sequence $r_k(X)=k! \mathbb{E}[X^{2k}]/(2k)!$ implies sharp comparisons between the $L_p$ and $L_2$ norms of $S$ for every even integer $p\geq 2$, extending classic Khintchine-type inequalities and yielding new results in the log-convex setting. We also investigate the stability of our inequalities.",spaCy MathEntRuler entity,http://example.org/mathkg/Variable,Variable,general-mathematics,https://arxiv.org/pdf/2606.19313v1,metadata_abstract,271,272
7,p,56,2606.19313v1,math.PR,title_abstract,p,"tability of Khintchine-type inequalities via log-monotonicity We investigate Khintchine-type inequalities for the weighted sums $S=\sum_ka_kX_k$ of independent copies of a symmetric random variable $X$. We show how log-monotonicity of the sequence $r_k(X)=k! \mathbb{E}[X^{2k}]/(2k)!$ implies sharp comparisons between the $L_p$ and $L_2$ norms of $S$ for every even integer $p\geq 2$, extending classic Khintchine-type inequalities and yielding new results in the log-convex setting. We also investigate the stability of our inequalities. Our first stability inequality sharpens the classic inequality by a deviation of the coefficient vector from the coordinate extremizers, while the second quantifies deviation from the Gaussian limit.",spaCy MathEntRuler entity,http://example.org/mathkg/Variable,Variable,general-mathematics,https://arxiv.org/pdf/2606.19313v1,metadata_abstract,327,328
31,L,21,2606.19313v1,math.PR,title_abstract,L,"tability of Khintchine-type inequalities via log-monotonicity We investigate Khintchine-type inequalities for the weighted sums $S=\sum_ka_kX_k$ of independent copies of a symmetric random variable $X$. We show how log-monotonicity of the sequence $r_k(X)=k! \mathbb{E}[X^{2k}]/(2k)!$ implies sharp comparisons between the $L_p$ and $L_2$ norms of $S$ for every even integer $p\geq 2$, extending classic Khintchine-type inequalities and yielding new results in the log-convex setting. We also investigate the stability of our inequalities. Our first stability inequality sharpens the classic inequality by a deviation of the coefficient vector from the coordinate extremizers, while the second quantifies deviation from the Gaussian limit.",spaCy MathEntRuler entity,http://example.org/mathkg/Variable,Variable,general-mathematics,https://arxiv.org/pdf/2606.19313v1,metadata_abstract,335,336
34,S,20,2606.19313v1,math.PR,title_abstract,S,"tability of Khintchine-type inequalities via log-monotonicity We investigate Khintchine-type inequalities for the weighted sums $S=\sum_ka_kX_k$ of independent copies of a symmetric random variable $X$. We show how log-monotonicity of the sequence $r_k(X)=k! \mathbb{E}[X^{2k}]/(2k)!$ implies sharp comparisons between the $L_p$ and $L_2$ norms of $S$ for every even integer $p\geq 2$, extending classic Khintchine-type inequalities and yielding new results in the log-convex setting. We also investigate the stability of our inequalities. Our first stability inequality sharpens the classic inequality by a deviation of the coefficient vector from the coordinate extremizers, while the second quantifies deviation from the Gaussian limit.",spaCy MathEntRuler entity,http://example.org/mathkg/Variable,Variable,general-mathematics,https://arxiv.org/pdf/2606.19313v1,metadata_abstract,350,351
