concept_IRI,canonical_label,kind_role,semantic_type,canonical_gloss,concise_form,pedagogical_form,expert_form,document_role_form,domain_tags,source_provenance
http://cll.niimm.ksu.ru/ontologies/mathematics#E847,Set,kind,set,"Set: A Set is a set-theoretic concept used to describe collections, membership, or containment.","Set: A Set is a set-theoretic concept used to describe collections, membership, or containment.","Think of set as a Set is a set-theoretic concept used to describe collections, membership, or containment.","Set denotes a Set is a set-theoretic concept used to describe collections, membership, or containment.","In a mathematical document, set usually signals a set concept with provenance from OntoMathPRO.",set-theory,OntoMathPRO
http://example.org/mathkg/Subset,Subset,kind,set,"Subset: A Subset is a set-theoretic concept used to describe collections, membership, or containment.","Subset: A Subset is a set-theoretic concept used to describe collections, membership, or containment.","Think of subset as a Subset is a set-theoretic concept used to describe collections, membership, or containment.","Subset denotes a Subset is a set-theoretic concept used to describe collections, membership, or containment.","In a mathematical document, subset usually signals a set concept with provenance from OpenMath; MathModDB.",set-theory,OpenMath; MathModDB
http://example.org/mathkg/Element,Element,kind,set,"Element: An Element is a set-theoretic concept used to describe collections, membership, or containment.","Element: An Element is a set-theoretic concept used to describe collections, membership, or containment.","Think of element as an Element is a set-theoretic concept used to describe collections, membership, or containment.","Element denotes an Element is a set-theoretic concept used to describe collections, membership, or containment.","In a mathematical document, element usually signals a set concept with provenance from OpenMath; MathModDB; OntoMathEdu.",set-theory,OpenMath; MathModDB; OntoMathEdu
http://cll.niimm.ksu.ru/ontologies/mathematics#E1505,Function,kind,function,Function: A Function is a mathematical function concept that associates inputs with outputs according to a rule.,Function: A Function is a mathematical function concept that associates inputs with outputs according to a rule.,Think of function as a Function is a mathematical function concept that associates inputs with outputs according to a rule.,Function denotes a Function is a mathematical function concept that associates inputs with outputs according to a rule.,"In a mathematical document, function usually signals a function concept with provenance from OntoMathPRO.",general-mathematics,OntoMathPRO
http://cll.niimm.ksu.ru/ontologies/mathematics#E2452,Relation,kind,relation,Relation: A Relation is a mathematical relation that specifies how two or more mathematical objects are connected.,Relation: A Relation is a mathematical relation that specifies how two or more mathematical objects are connected.,Think of relation as a Relation is a mathematical relation that specifies how two or more mathematical objects are connected.,Relation denotes a Relation is a mathematical relation that specifies how two or more mathematical objects are connected.,"In a mathematical document, relation usually signals a relation concept with provenance from OntoMathPRO.",logic,OntoMathPRO
http://cll.niimm.ksu.ru/ontologies/mathematics#E1301,Operation,kind,operator,Operation: An Operation is a mathematical operation or operator that transforms one or more inputs into a result.,Operation: An Operation is a mathematical operation or operator that transforms one or more inputs into a result.,Think of operation as an Operation is a mathematical operation or operator that transforms one or more inputs into a result.,Operation denotes an Operation is a mathematical operation or operator that transforms one or more inputs into a result.,"In a mathematical document, operation usually signals a operator concept with provenance from OntoMathPRO.",general-mathematics,OntoMathPRO
http://cll.niimm.ksu.ru/ontologies/mathematics#E1315,Addition,kind,operator,Addition: An Addition is a mathematical operation or operator that transforms one or more inputs into a result.,Addition: An Addition is a mathematical operation or operator that transforms one or more inputs into a result.,Think of addition as an Addition is a mathematical operation or operator that transforms one or more inputs into a result.,Addition denotes an Addition is a mathematical operation or operator that transforms one or more inputs into a result.,"In a mathematical document, addition usually signals a operator concept with provenance from OntoMathPRO.",general-mathematics,OntoMathPRO
http://example.org/mathkg/Subtraction,Subtraction,kind,operator,Subtraction: A Subtraction is a mathematical operation or operator that transforms one or more inputs into a result.,Subtraction: A Subtraction is a mathematical operation or operator that transforms one or more inputs into a result.,Think of subtraction as a Subtraction is a mathematical operation or operator that transforms one or more inputs into a result.,Subtraction denotes a Subtraction is a mathematical operation or operator that transforms one or more inputs into a result.,"In a mathematical document, subtraction usually signals a operator concept with provenance from OpenMath; OntoMathPRO.",general-mathematics,OpenMath; OntoMathPRO
http://cll.niimm.ksu.ru/ontologies/mathematics#E1318,Multiplication,kind,operator,Multiplication: A Multiplication is a mathematical operation or operator that transforms one or more inputs into a result.,Multiplication: A Multiplication is a mathematical operation or operator that transforms one or more inputs into a result.,Think of multiplication as a Multiplication is a mathematical operation or operator that transforms one or more inputs into a result.,Multiplication denotes a Multiplication is a mathematical operation or operator that transforms one or more inputs into a result.,"In a mathematical document, multiplication usually signals a operator concept with provenance from OntoMathPRO.",general-mathematics,OntoMathPRO
http://example.org/mathkg/Division,Division,kind,operator,Division: A Division is a mathematical operation or operator that transforms one or more inputs into a result.,Division: A Division is a mathematical operation or operator that transforms one or more inputs into a result.,Think of division as a Division is a mathematical operation or operator that transforms one or more inputs into a result.,Division denotes a Division is a mathematical operation or operator that transforms one or more inputs into a result.,"In a mathematical document, division usually signals a operator concept with provenance from OpenMath; OntoMathPRO.",general-mathematics,OpenMath; OntoMathPRO
