audio_id,condition,audio_path,transcript_produced,word_error_rate,concept_keywords_expected,concept_keywords_found,concept_keywords_total,concept_keyword_recall,expected_text,whisper_transcript,status,notes
ALG01,mathontospeak_semantic,study\audio\mathontospeak_semantic\equation_gtts\eq_001_ALG01.mp3,true,0.112,Variable; Addition; Number; Equality,4,4,1.000,"arXiv ALG01. Equation x + 3 = 7. Matched concepts: Variable, Addition, Number, Equality. Variable means a Variable is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse. Addition means an Addition is a mathematical operation or operator that transforms one or more inputs into a result. Number means a Number is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse. Equality means an Equality is a mathematical relation that specifies how two or more mathematical objects are connected.","R- i-l-g-0-1. Equation x plus 3 equals 7. Matched concepts Variable, addition, number, equality. Variable means a variable is a mathematical concept used as a named object. Value, or quantity in formal mathematical discourse. Addition means an addition is a mathematical operation or operator that transforms one or more. As a result, number means a number is a mathematical concept used as a named object. Value, or quantity in formal mathematical discourse. Equality means an equality is a mathematical relation that specifies how two or more mathematical. Objects are connected.",ok,4/4 concept keywords recognized
ALG02,mathontospeak_semantic,study\audio\mathontospeak_semantic\equation_gtts\eq_002_ALG02.mp3,true,0.124,Number; Variable; Subtraction; Equality,4,4,1.000,"arXiv ALG02. Equation 2x - 5 = 9. Matched concepts: Number, Variable, Subtraction, Equality. Number means a Number is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse. Variable means a Variable is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse. Subtraction means a Subtraction is a mathematical operation or operator that transforms one or more inputs into a result. Equality means an Equality is a mathematical relation that specifies how two or more mathematical objects are connected.",R- i-v-l-g-0-2. Equation 2x5 equals 9. Matched concepts. Number. Variable. Subtraction. Equality. Number means a number is a mathematical concept used as a named object. Value. Our quantity in formal mathematical discourse. Variable means a variable is a mathematical concept used as a named object. Value. Our quantity in formal mathematical discourse. Subtraction means a subtraction is a mathematical operation or operator that transforms one or more. Inputs into a result. Equality means an equality is a mathematical relation that specifies how two or more mathematical objects are connected.,ok,4/4 concept keywords recognized
ALG03,mathontospeak_semantic,study\audio\mathontospeak_semantic\equation_gtts\eq_003_ALG03.mp3,true,0.125,Variable; Addition; Number; Subtraction; Equality; Exponentiating,6,6,1.000,"arXiv ALG03. Equation (x+1)(x-1)=x^2-1. Matched concepts: Variable, Addition, Number, Subtraction, Equality, Exponentiating. Variable means a Variable is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse. Addition means an Addition is a mathematical operation or operator that transforms one or more inputs into a result. Number means a Number is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse. Subtraction means a Subtraction is a mathematical operation or operator that transforms one or more inputs into a result.","R kyval jo3, equation x plus 1, x1, equals x squared 1, matched concepts, variable, addition, number, subtraction, equality, exponentiating. Variable means a variable is a mathematical concept used as a named object. Value, are quantity and formal mathematical discourse. Subtraction means an addition is a mathematical operation or operator that transforms one or more. Inputs into a result. Number means a number is a mathematical concept used as a named object. Value, are quantity and formal mathematical discourse. Subtraction means a subtraction is a mathematical operation or operator that transforms one or more. Inputs into a result.",ok,6/6 concept keywords recognized
ALG04,mathontospeak_semantic,study\audio\mathontospeak_semantic\equation_gtts\eq_004_ALG04.mp3,true,0.979,Addition; Variable; Equality; Number; Exponentiating; Division,0,6,0.000,"arXiv ALG04. Equation ∑_i=1^n i = n(n+1)/2. Matched concepts: Addition, Variable, Equality, Number, Exponentiating, Division. Addition means an Addition is a mathematical operation or operator that transforms one or more inputs into a result. Variable means a Variable is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse. Equality means an Equality is a mathematical relation that specifies how two or more mathematical objects are connected. Number means a Number is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.",R- i- i- i- i- i- i- i- i- i- i- i- i- i- i- i- i- i-,ok,0/6 concept keywords recognized
CALC01,mathontospeak_semantic,study\audio\mathontospeak_semantic\equation_gtts\eq_005_CALC01.mp3,true,0.147,Variable; Map; Number; Division; Sine; Equality,5,6,0.833,"arXiv CALC01. Equation lim_x→0sinx/x=1. Matched concepts: Variable, Map, Number, Division, Sine, Equality. Variable means a Variable is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse. Map means a Map is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse. Number means a Number is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse. Division means a Division is a mathematical operation or operator that transforms one or more inputs into a result.","R-kind CALC01. Equation limb underscore x-right-pointing arrow 0-6, x-equals 1. Matched concepts. Variable. Map. Number. Division. Sign. Equality. Variable means a variable is a mathematical concept used as a named object. Value. Our quantity in formal mathematical discourse. Map means a map is a mathematical concept used as a named object. Value. Our quantity in formal mathematical discourse. Number means a number is a mathematical concept used as a named object. Value. Our quantity in formal mathematical discourse. Division means a division is a mathematical operation or operator that transforms one or more. Inputs into a result.",ok,5/6 concept keywords recognized
CALC02,mathontospeak_semantic,study\audio\mathontospeak_semantic\equation_gtts\eq_006_CALC02.mp3,true,0.085,Division; Variable; Exponentiating; Number; Equality,5,5,1.000,"arXiv CALC02. Equation d/dxx^3=3x^2. Matched concepts: Division, Variable, Exponentiating, Number, Equality. Division means a Division is a mathematical operation or operator that transforms one or more inputs into a result. Variable means a Variable is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse. Exponentiating means an Exponentiating is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse. Number means a Number is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Archive CalCO2, equation d dxx karat 3 equals 3x squared. Matched concepts, division, variable, exponentiating, number, equality. Division means a division is a mathematical operation or operator that transforms one or more. Inputs into a result, variable means a variable is a mathematical concept used as a named object. Value or quantity and formal mathematical discourse. Exponentiating means an exponentiating is a mathematical concept used as a named object. Value or quantity and formal mathematical discourse. Number means a number is a mathematical concept used as a named object. Value or quantity and formal mathematical discourse.",ok,5/5 concept keywords recognized
CALC03,mathontospeak_semantic,study\audio\mathontospeak_semantic\equation_gtts\eq_007_CALC03.mp3,true,0.109,Integral; Number; Exponentiating; Variable,4,4,1.000,"arXiv CALC03. Equation ∫_0^1 x^2. Matched concepts: Integral, Number, Exponentiating, Variable. Integral means an Integral is a mathematical operation or operator that transforms one or more inputs into a result. Number means a Number is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse. Exponentiating means an Exponentiating is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse. Variable means a Variable is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Archive CalCO3, equation underscore zero to the power of 1x squared, matched concepts, integral, number, exponentiating, variable. Integral means an integral is a mathematical operation or operator that transforms one or more. Inputs into a result, number means a number is a mathematical concept used as a named object. Value or quantity in formal mathematical discourse. Exponentiating means an exponentiating is a mathematical concept used as a named object. Value or quantity in formal mathematical discourse. Variable means a variable is a mathematical concept used as a named object. Value or quantity in formal mathematical discourse.",ok,4/4 concept keywords recognized
LIN01,mathontospeak_semantic,study\audio\mathontospeak_semantic\equation_gtts\eq_008_LIN01.mp3,true,0.231,Variable; Addition; Equality,3,3,1.000,"arXiv LIN01. Equation 𝐮+𝐯=𝐰. Matched concepts: Variable, Addition, Equality. Variable means a Variable is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse. Addition means an Addition is a mathematical operation or operator that transforms one or more inputs into a result. Equality means an Equality is a mathematical relation that specifies how two or more mathematical objects are connected.",R i V l i n 0 1. Equation u plus v equals w. Matched concepts. Variable. Addition. Equality. Variable means a variable is a mathematical concept used as a named object. Value. R quantity and formal mathematical discourse. Addition means an addition is a mathematical operation or operator that transforms one or more. Inputs into a result. Equality means an equality is a mathematical relation that specifies how two or more mathematical. Objects are connected.,ok,3/3 concept keywords recognized
LIN02,mathontospeak_semantic,study\audio\mathontospeak_semantic\equation_gtts\eq_009_LIN02.mp3,true,0.217,Variable; Equality,2,2,1.000,"arXiv LIN02. Equation A𝐱=𝐛. Matched concepts: Variable, Equality. Variable means a Variable is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse. Equality means an Equality is a mathematical relation that specifies how two or more mathematical objects are connected.",R kai vali n02. Equation x equals b. Matched concepts. Variable. Equality. Variable means a variable is a mathematical concept used as a named object. Value. Our quantity and formal mathematical discourse. Equality means an equality is a mathematical relation that specifies how to or more mathematical. Objects are connected.,ok,2/2 concept keywords recognized
LIN03,mathontospeak_semantic,study\audio\mathontospeak_semantic\equation_gtts\eq_010_LIN03.mp3,true,0.044,Variable; Equality; Number,3,3,1.000,"arXiv LIN03. Equation (A)=0. Matched concepts: Variable, Equality, Number. Variable means a Variable is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse. Equality means an Equality is a mathematical relation that specifies how two or more mathematical objects are connected. Number means a Number is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Archivalin 03, equation A, equal 0, matched concepts, variable, equality, number, variable means a variable is a mathematical concept used as a named object. Value, or quantity in formal mathematical discourse. Equality means an equality is a mathematical relation that specifies how two or more mathematical. objects are connected. Number means a number is a mathematical concept used as a named object. Value, or quantity in formal mathematical discourse.",ok,3/3 concept keywords recognized
