participant_id,condition,stimulus_id,question_id,response,correct_choice,score
P01,notation_only,ALG01,ALG01_Q1,D,A,0
P01,notation_only,ALG01,ALG01_Q2,B,A,0
P01,notation_only,ALG01,ALG01_Q3,B,A,0
P01,notation_only,ALG01,ALG01_Q4,D,A,0
P01,notation_only,CALC03,CALC03_Q1,A,A,1
P01,notation_only,CALC03,CALC03_Q2,C,A,0
P01,notation_only,CALC03,CALC03_Q3,D,A,0
P01,notation_only,CALC03,CALC03_Q4,B,A,0
P01,notation_only,LIN03,LIN03_Q1,A,A,1
P01,notation_only,LIN03,LIN03_Q2,B,A,0
P01,notation_only,LIN03,LIN03_Q3,D,A,0
P01,notation_only,LIN03,LIN03_Q4,C,A,0
P01,mathontospeak_semantic,ALG01,ALG01_Q1,A,A,1
P01,mathontospeak_semantic,ALG01,ALG01_Q2,A,A,1
P01,mathontospeak_semantic,ALG01,ALG01_Q3,C,A,0
P01,mathontospeak_semantic,ALG01,ALG01_Q4,B,A,0
P01,mathontospeak_semantic,CALC03,CALC03_Q1,A,A,1
P01,mathontospeak_semantic,CALC03,CALC03_Q2,A,A,1
P01,mathontospeak_semantic,CALC03,CALC03_Q3,B,A,0
P01,mathontospeak_semantic,CALC03,CALC03_Q4,B,A,0
P01,mathontospeak_semantic,LIN03,LIN03_Q1,A,A,1
P01,mathontospeak_semantic,LIN03,LIN03_Q2,A,A,1
P01,mathontospeak_semantic,LIN03,LIN03_Q3,A,A,1
P01,mathontospeak_semantic,LIN03,LIN03_Q4,B,A,0
P02,mathontospeak_semantic,ALG01,ALG01_Q1,A,A,1
P02,mathontospeak_semantic,ALG01,ALG01_Q2,C,A,0
P02,mathontospeak_semantic,ALG01,ALG01_Q3,A,A,1
P02,mathontospeak_semantic,ALG01,ALG01_Q4,A,A,1
P02,mathontospeak_semantic,CALC03,CALC03_Q1,A,A,1
P02,mathontospeak_semantic,CALC03,CALC03_Q2,A,A,1
P02,mathontospeak_semantic,CALC03,CALC03_Q3,B,A,0
P02,mathontospeak_semantic,CALC03,CALC03_Q4,B,A,0
P02,mathontospeak_semantic,LIN03,LIN03_Q1,A,A,1
P02,mathontospeak_semantic,LIN03,LIN03_Q2,B,A,0
P02,mathontospeak_semantic,LIN03,LIN03_Q3,A,A,1
P02,mathontospeak_semantic,LIN03,LIN03_Q4,C,A,0
P02,notation_only,ALG01,ALG01_Q1,A,A,1
P02,notation_only,ALG01,ALG01_Q2,B,A,0
P02,notation_only,ALG01,ALG01_Q3,D,A,0
P02,notation_only,ALG01,ALG01_Q4,A,A,1
P02,notation_only,CALC03,CALC03_Q1,A,A,1
P02,notation_only,CALC03,CALC03_Q2,C,A,0
P02,notation_only,CALC03,CALC03_Q3,A,A,1
P02,notation_only,CALC03,CALC03_Q4,A,A,1
P02,notation_only,LIN03,LIN03_Q1,C,A,0
P02,notation_only,LIN03,LIN03_Q2,D,A,0
P02,notation_only,LIN03,LIN03_Q3,B,A,0
P02,notation_only,LIN03,LIN03_Q4,B,A,0
P03,notation_only,ALG01,ALG01_Q1,B,A,0
P03,notation_only,ALG01,ALG01_Q2,D,A,0
P03,notation_only,ALG01,ALG01_Q3,B,A,0
